timestamp,open,high,low,close,volume
2024-01-01T00:00:00Z,100.0,105.0,99.0,102.0,1000.0
2024-01-01T01:00:00Z,102.0,108.0,101.0,107.0,1200.0
2024-01-01T02:00:00Z,107.0,110.0,106.0,109.0,800.0
2024-01-01T03:00:00Z,109.0,115.0,108.0,114.0,1500.0
2024-01-01T04:00:00Z,114.0,118.0,112.0,116.0,900.0
2024-01-01T05:00:00Z,116.0,120.0,115.0,118.0,1100.0
2024-01-01T06:00:00Z,118.0,122.0,116.0,120.0,1300.0
2024-01-01T07:00:00Z,120.0,125.0,119.0,124.0,1400.0
2024-01-01T08:00:00Z,124.0,130.0,122.0,128.0,1600.0
2024-01-01T09:00:00Z,128.0,135.0,126.0,132.0,1800.0
2024-01-01T10:00:00Z,132.0,138.0,130.0,136.0,1700.0
2024-01-01T11:00:00Z,136.0,142.0,134.0,140.0,1900.0
2024-01-01T12:00:00Z,140.0,145.0,138.0,143.0,2000.0
2024-01-01T13:00:00Z,143.0,148.0,141.0,146.0,2100.0
2024-01-01T14:00:00Z,146.0,150.0,144.0,148.0,2200.0
2024-01-01T15:00:00Z,148.0,152.0,146.0,150.0,2300.0
2024-01-01T16:00:00Z,150.0,155.0,148.0,152.0,2400.0
2024-01-01T17:00:00Z,152.0,158.0,150.0,155.0,2500.0
2024-01-01T18:00:00Z,155.0,160.0,153.0,158.0,2600.0
2024-01-01T19:00:00Z,158.0,162.0,156.0,160.0,2700.0
