timestamp,open,high,low,close,volume
2024-01-01T00:00:00Z,42003.57,42110.94,41881.95,41968.69,1366.32
2024-01-01T01:00:00Z,41980.47,42137.16,41969.97,41975.43,1025.21
2024-01-01T02:00:00Z,41977.54,42001.38,41947.63,41991.34,1394.23
2024-01-01T03:00:00Z,42016.43,42114.62,41945.41,42055.71,1032.12
2024-01-01T04:00:00Z,42073.32,42105.12,42052.26,42088.18,1377.65
2024-01-01T05:00:00Z,42095.68,42160.85,41961.15,42032.92,1304.05
2024-01-01T06:00:00Z,42029.33,42143.40,42020.63,42088.22,1493.59
2024-01-01T07:00:00Z,42089.85,42183.62,41918.10,41999.88,1276.93
2024-01-01T08:00:00Z,41992.85,42044.66,41932.32,41957.14,1113.06
2024-01-01T09:00:00Z,41990.92,42051.85,41908.58,41941.28,2176.74
2024-01-01T10:00:00Z,41927.91,42006.84,41902.23,41906.91,1153.38
2024-01-01T11:00:00Z,41893.87,42031.32,41875.45,41976.22,1210.84
2024-01-01T12:00:00Z,42005.71,42083.85,41877.82,41938.51,1031.89
2024-01-01T13:00:00Z,41938.02,41987.79,41912.20,41924.34,1383.92
2024-01-01T14:00:00Z,41914.88,41977.28,41880.24,41971.52,1178.60
2024-01-01T15:00:00Z,41968.09,42115.03,41934.09,41959.20,1272.71
2024-01-01T16:00:00Z,41972.62,42117.77,41852.01,41904.81,1362.86
2024-01-01T17:00:00Z,41904.62,42008.58,41763.49,41956.55,1483.02
2024-01-01T18:00:00Z,41958.22,42042.07,41880.27,41900.86,1123.60
2024-01-01T19:00:00Z,41935.85,41994.48,41856.83,41976.59,2026.57
2024-01-01T20:00:00Z,41988.64,42121.85,41936.66,41996.29,1267.27
2024-01-01T21:00:00Z,42023.61,42085.77,41894.06,42033.46,1300.73
2024-01-01T22:00:00Z,42024.37,42061.91,41941.30,42030.60,1433.75
2024-01-01T23:00:00Z,42040.43,42195.90,42002.35,42186.42,1254.32
2024-01-02T00:00:00Z,42194.05,42293.34,42116.88,42173.94,1213.03
2024-01-02T01:00:00Z,42174.32,42303.91,42088.41,42185.56,1067.07
2024-01-02T02:00:00Z,42170.86,42191.40,42109.42,42186.68,1038.71
2024-01-02T03:00:00Z,42174.34,42192.21,42148.98,42151.74,1459.78
2024-01-02T04:00:00Z,42147.32,42150.44,42123.75,42139.85,1038.61
2024-01-02T05:00:00Z,42140.87,42181.70,42107.17,42175.66,1306.14
2024-01-02T06:00:00Z,42175.22,42276.67,42092.49,42132.51,1244.45
2024-01-02T07:00:00Z,42118.13,42259.28,42095.33,42247.26,1274.82
2024-01-02T08:00:00Z,42278.06,42394.34,42278.03,42293.50,1905.40
2024-01-02T09:00:00Z,42304.02,42430.53,42168.70,42295.99,1229.77
2024-01-02T10:00:00Z,42308.14,42359.96,42304.19,42346.71,1098.44
2024-01-02T11:00:00Z,42368.26,42443.42,42363.83,42385.21,1109.26
2024-01-02T12:00:00Z,42383.17,42421.70,42211.73,42412.09,1004.44
2024-01-02T13:00:00Z,42412.40,42471.86,42279.76,42375.51,1463.66
2024-01-02T14:00:00Z,42364.39,42371.80,42274.66,42296.95,1439.77
2024-01-02T15:00:00Z,42315.32,42407.69,42263.07,42391.75,1293.79
2024-01-02T16:00:00Z,42385.20,42450.76,42258.61,42308.49,1455.69
2024-01-02T17:00:00Z,42308.13,42352.75,42182.29,42207.75,1052.33
2024-01-02T18:00:00Z,42220.47,42244.86,42143.36,42202.50,1022.02
2024-01-02T19:00:00Z,42197.29,42257.01,42094.74,42193.78,1171.69
2024-01-02T20:00:00Z,42194.99,42291.56,42084.98,42179.88,1168.34
2024-01-02T21:00:00Z,42188.91,42225.48,42063.28,42173.74,1417.33
2024-01-02T22:00:00Z,42199.52,42278.79,42101.33,42105.73,1234.04
2024-01-02T23:00:00Z,42133.89,42176.31,42076.01,42098.37,1374.99
2024-01-03T00:00:00Z,42122.83,42166.02,42047.55,42145.75,1184.55
2024-01-03T01:00:00Z,42143.44,42181.14,42054.98,42056.81,1317.44
2024-01-03T02:00:00Z,42074.63,42077.34,42026.02,42069.75,1189.48
2024-01-03T03:00:00Z,42087.60,42241.24,41978.78,42078.37,1210.90
2024-01-03T04:00:00Z,42072.11,42223.33,42005.58,42018.81,1285.02
2024-01-03T05:00:00Z,42029.94,42065.78,42020.16,42036.81,1496.36
2024-01-03T06:00:00Z,42035.89,42179.49,41909.21,42026.40,1328.53
2024-01-03T07:00:00Z,42036.54,42163.17,41851.13,42069.89,1462.49
2024-01-03T08:00:00Z,42097.32,42273.87,42093.79,42248.38,1130.70
