timestamp,open,high,low,close,volume
2026-01-01 00:00:00,100.0,110.0,95.0,105.0,10000.0
2026-01-02 00:00:00,105.0,115.0,100.0,110.0,12000.0
2026-01-03 00:00:00,110.0,120.0,105.0,115.0,15000.0
2026-01-04 00:00:00,115.0,125.0,110.0,120.0,18000.0
2026-01-05 00:00:00,120.0,130.0,115.0,125.0,20000.0
2026-01-06 00:00:00,125.0,135.0,120.0,130.0,22000.0
2026-01-07 00:00:00,130.0,140.0,125.0,135.0,25000.0
2026-01-08 00:00:00,135.0,145.0,130.0,140.0,28000.0
2026-01-09 00:00:00,140.0,150.0,135.0,145.0,30000.0
2026-01-10 00:00:00,145.0,155.0,140.0,150.0,35000.0
